ticker,announce_datetime,bmo_amc,eps_actual,eps_estimate
AAPL,2025-05-01 16:30:00-04:00,AMC,1.65,1.63
AAPL,2025-02-27 12:00:00-05:00,AMC,,
AAPL,2025-01-30 16:31:00-05:00,AMC,2.4,2.35
AAPL,2024-10-31 16:31:00-04:00,AMC,1.64,1.6
AAPL,2024-08-01 16:30:00-04:00,AMC,1.4,1.35
AAPL,2024-05-02 16:31:00-04:00,AMC,1.53,1.5
AAPL,2024-02-01 16:00:00-05:00,AMC,2.18,2.1
AAPL,2023-11-02 16:30:00-04:00,AMC,1.46,1.39
AAPL,2023-08-03 16:30:00-04:00,AMC,1.26,1.19
AAPL,2023-05-04 16:30:00-04:00,AMC,1.52,1.43
AAPL,2023-02-02 16:30:00-05:00,AMC,1.88,1.94
AAPL,2022-10-27 16:30:00-04:00,AMC,1.29,1.27
AAPL,2022-07-28 16:30:00-04:00,AMC,1.2,1.16
AAPL,2022-04-28 16:30:00-04:00,AMC,1.52,1.43
AAPL,2022-01-27 16:30:00-05:00,AMC,2.1,1.89
AAPL,2021-10-28 16:30:00-04:00,AMC,1.24,1.24
MSFT,2025-04-30 16:05:00-04:00,AMC,3.46,3.22
MSFT,2025-01-29 16:01:00-05:00,AMC,3.23,3.11
MSFT,2024-12-06 11:30:00-05:00,BMO,,
MSFT,2024-10-30 16:01:00-04:00,AMC,3.3,3.1
MSFT,2024-07-30 16:03:00-04:00,AMC,2.95,2.93
MSFT,2024-04-25 16:23:00-04:00,AMC,2.94,2.82
MSFT,2024-01-30 16:04:00-05:00,AMC,2.93,2.78
MSFT,2023-10-24 16:02:00-04:00,AMC,2.99,2.65
MSFT,2023-07-25 16:01:00-04:00,AMC,2.69,2.55
MSFT,2023-04-25 16:05:00-04:00,AMC,2.45,2.23
MSFT,2023-01-24 16:04:00-05:00,AMC,2.32,2.29
MSFT,2022-10-25 16:02:00-04:00,AMC,2.35,2.3
MSFT,2022-07-26 16:09:00-04:00,AMC,2.23,2.29
MSFT,2022-04-26 16:04:00-04:00,AMC,2.22,2.19
MSFT,2022-01-25 16:04:00-05:00,AMC,2.48,2.31
MSFT,2021-10-26 16:05:00-04:00,AMC,2.27,2.07
AMZN,2025-05-22 12:00:00-04:00,AMC,,
AMZN,2025-05-01 16:01:00-04:00,AMC,1.59,1.36
AMZN,2025-02-06 16:01:00-05:00,AMC,1.86,1.49
AMZN,2024-10-31 16:01:00-04:00,AMC,1.43,1.14
AMZN,2024-08-01 16:01:00-04:00,AMC,1.26,1.03
AMZN,2024-04-30 16:01:00-04:00,AMC,0.98,0.83
AMZN,2024-02-01 16:00:00-05:00,AMC,1.0,0.8
AMZN,2023-10-26 16:01:00-04:00,AMC,0.94,0.58
AMZN,2023-08-03 16:01:00-04:00,AMC,0.65,0.35
AMZN,2023-04-27 16:03:00-04:00,AMC,0.31,0.21
AMZN,2023-02-02 16:01:00-05:00,AMC,0.25,0.18
AMZN,2022-10-27 16:01:00-04:00,AMC,0.17,0.22
AMZN,2022-07-28 16:01:00-04:00,AMC,0.18,0.14
AMZN,2022-04-28 16:01:00-04:00,AMC,0.37,0.42
AMZN,2022-02-03 16:03:00-05:00,AMC,0.29,0.18
AMZN,2021-10-28 16:01:00-04:00,AMC,0.31,0.45
GOOG,2025-06-06 12:00:00-04:00,AMC,,
GOOG,2025-04-24 16:06:00-04:00,AMC,2.27,2.01
GOOG,2025-02-04 16:04:00-05:00,AMC,2.15,2.13
GOOG,2024-10-29 16:03:00-04:00,AMC,2.12,1.85
GOOG,2024-07-23 16:09:00-04:00,AMC,1.89,1.84
GOOG,2024-04-25 16:01:00-04:00,AMC,1.89,1.51
GOOG,2024-01-30 16:00:00-05:00,AMC,1.64,1.59
GOOG,2023-10-24 16:00:00-04:00,AMC,1.55,1.45
GOOG,2023-07-25 16:01:00-04:00,AMC,1.44,1.34
GOOG,2023-04-25 16:02:00-04:00,AMC,1.17,1.06
GOOG,2023-02-02 16:02:00-05:00,AMC,1.05,1.19
GOOG,2022-10-25 16:02:00-04:00,AMC,1.06,1.25
GOOG,2022-07-26 16:02:00-04:00,AMC,1.21,1.3
GOOG,2022-04-26 16:09:00-04:00,AMC,1.23,1.29
GOOG,2022-02-01 16:02:00-05:00,AMC,1.53,1.38
GOOG,2021-10-26 16:00:00-04:00,AMC,1.4,1.17
META,2025-05-29 13:00:00-04:00,AMC,,
META,2025-04-30 16:05:00-04:00,AMC,6.43,5.28
META,2025-01-29 16:42:00-05:00,AMC,8.02,6.77
META,2024-10-30 16:05:00-04:00,AMC,6.03,5.25
META,2024-07-31 16:07:00-04:00,AMC,5.16,4.73
META,2024-04-24 16:05:00-04:00,AMC,4.71,4.32
META,2024-02-01 16:06:00-05:00,AMC,5.33,4.96
META,2023-10-25 16:16:00-04:00,AMC,4.39,3.63
META,2023-07-26 16:05:00-04:00,AMC,2.98,2.92
META,2023-04-26 16:10:00-04:00,AMC,2.2,2.03
META,2023-02-01 16:05:00-05:00,AMC,1.76,2.22
META,2022-10-26 16:05:00-04:00,AMC,1.64,1.89
META,2022-07-27 16:05:00-04:00,AMC,2.46,2.59
META,2022-04-27 16:05:00-04:00,AMC,2.72,2.56
