ticker,published_utc,source,title,link,body
META,2022-02-03 00:00:00+00:00,kaggle_sp500_news,Tech Rout on Meta Miss Jeopardizes S&P 500's Winning Streak,,
META,2022-02-07 00:00:00+00:00,kaggle_sp500_news,Wall Street ends lower as Meta Platforms weighs,,
TSLA,2022-05-16 00:00:00+00:00,kaggle_sp500_news,Tesla (TSLA) Stock Price Forecast Gap Is Widest in S&P500,,
TSLA,2022-05-20 00:00:00+00:00,kaggle_sp500_news,Tesla Stock News and Forecast: TSLA regains $700 despite cut from S&P 500 ESG Index,,
META,2022-06-03 00:00:00+00:00,kaggle_sp500_news,"At $300,000, Alphabet, Meta had highest-paid median workers in 2021: Report",,
META,2022-06-09 00:00:00+00:00,kaggle_sp500_news,Facebook (Meta's) New Stock Symbol Didn't Fool Anyone,,
JPM,2022-07-14 00:00:00+00:00,kaggle_sp500_news,Dow and S&P 500 closed lower today after JPM missed on earnings,,
META,2022-08-01 00:00:00+00:00,kaggle_sp500_news,"Apple, Google, Meta: All of the tech companies hitting the brakes on hiring",,
META,2022-08-04 00:00:00+00:00,kaggle_sp500_news,Meta Makes Bond-Market Debut With Four-Part Offering,,
MSFT,2022-08-31 00:00:00+00:00,kaggle_sp500_news,MSFT: 1 Stock That Continues to Outperform the S&P 500,,
META,2022-11-03 00:00:00+00:00,kaggle_sp500_news,Facebook parent company Meta is now the worst performer in the S&P 500 this year,,
META,2022-11-03 00:00:00+00:00,kaggle_sp500_news,Meta Is The S&P 500's Worst Performer Of 2022 As Losses Near 75%,,
META,2022-11-07 00:00:00+00:00,kaggle_sp500_news,10 Meta Investors Lose $211 Billion On Mark Zuckerberg's Madness,,
TSLA,2022-12-23 00:00:00+00:00,kaggle_sp500_news,Here's How Much Tesla Has Dragged Down The S&P 500 Since It Was Added 2 Years Ago - Tesla (NASDAQ:TSLA),,
META,2022-12-27 00:00:00+00:00,kaggle_sp500_news,"Meta, Tesla and Match Are Among the 10 Biggest S&P 500 Losers in 2022",,
META,2023-02-02 00:00:00+00:00,kaggle_sp500_news,Meta’s (META) Stock Market Rebound to Surpass $500 Billion in Value,,
META,2023-02-02 00:00:00+00:00,kaggle_sp500_news,S&P 500 advances more than 1% to its best level in five months as Meta leads tech-fueled rally,,
META,2023-02-02 00:00:00+00:00,kaggle_sp500_news,"Nasdaq, S&P 500 post strong gains on Fed relief, Meta surge",,
META,2023-03-31 00:00:00+00:00,kaggle_sp500_news,"Nvidia (NVDA), Meta Stocks Lead Nasdaq 100’s Gains in First Quarter",,
NVDA,2023-03-31 00:00:00+00:00,kaggle_sp500_news,"Nvidia (NVDA), Meta Stocks Lead Nasdaq 100’s Gains in First Quarter",,
AAPL,2023-04-19 00:00:00+00:00,kaggle_sp500_news,Forget AAPL MSFT. This stock is the 'real' leader in S&P 500: Analyst,,
MSFT,2023-04-19 00:00:00+00:00,kaggle_sp500_news,Forget AAPL MSFT. This stock is the 'real' leader in S&P 500: Analyst,,
META,2023-05-03 00:00:00+00:00,kaggle_sp500_news,‘ChatGPT is the new crypto’: Meta warns hackers are exploiting interest in the AI chatbot,,
META,2023-05-15 00:00:00+00:00,kaggle_sp500_news,"S&P 500, Dow muted on slowdown fears; Meta lifts Nasdaq",,
META,2023-05-22 00:00:00+00:00,kaggle_sp500_news,How Much $10000 Invested In Meta's IPO 11 Years Ago Is Worth Now,,
META,2023-06-02 00:00:00+00:00,kaggle_sp500_news,"Apple, Nvidia, Meta, Lead Market Rally (Why That's Not Good)",,
META,2023-06-28 00:00:00+00:00,kaggle_sp500_news,Meta tops list of U.S. firms spending on private jets,,
META,2023-07-10 00:00:00+00:00,kaggle_sp500_news,"NASDAQ 100, Dow Jones, S&P 500: Investors Await CPI Data, Earnings Season; Meta Climbs",,
META,2023-07-11 00:00:00+00:00,kaggle_sp500_news,"NASDAQ 100, Dow Jones, S&P 500: Investors Await CPI Data, Earnings Season; Meta Climbs",,
JPM,2023-07-25 00:00:00+00:00,kaggle_sp500_news,"S&P 500 rally is showing signs of a bubble, selloff is coming - JPM",,
META,2023-07-27 00:00:00+00:00,kaggle_sp500_news,"S&P 500 turns lower as financials, airline weigh despite Meta surge",,
AMZN,2023-08-07 00:00:00+00:00,kaggle_sp500_news,How To Trade The S&P 500 Index And The Market By Using Options Data - Amazon.com (NASDAQ:AMZN),,
TSLA,2023-09-06 00:00:00+00:00,kaggle_sp500_news,TSLA: Tesla Stock Lights Up S&P 500's Leaderboard with 5% Gain on Bright News,,
META,2023-09-06 00:00:00+00:00,kaggle_sp500_news,"Dow Jones Falls, S&P 500 Tests Key Level On Economic Data; Meta, Tesla Back Off Early Entries",,
META,2023-10-25 00:00:00+00:00,kaggle_sp500_news,"Nasdaq Index, Dow Jones, S&P 500 News: Mixed Earnings Sparks Volatility in Tech, Industrials; Meta on Tap",,
META,2023-10-26 00:00:00+00:00,kaggle_sp500_news,S&P 500 falls as Meta slump triggers tech wobble,,
AAPL,2023-11-02 00:00:00+00:00,kaggle_sp500_news,"S&P 500 analysis: Stocks extend post-FOMC gains ahead of AAPL, NFP",,
TSLA,2023-12-20 00:00:00+00:00,kaggle_sp500_news,Tesla Stock (TSLA) Beaten by S&P 500 After Joining in 2020,,
META,2024-01-08 00:00:00+00:00,kaggle_sp500_news,Here's Who Owns Meta Now That Mark Zuckerberg Is Unloading Stock,,
META,2024-02-01 00:00:00+00:00,kaggle_sp500_news,Stock Market Today: S&P 500 clinches record high as Meta's mega rally fuels bulls,,
META,2024-02-02 00:00:00+00:00,kaggle_sp500_news,"Markets News, Feb. 2, 2024: Meta, Amazon Propel S&P 500 to Record; Yields Soar on Strong Jobs Report",,
NVDA,2024-02-16 00:00:00+00:00,kaggle_sp500_news,The Week Ahead: S&P 500 Uptrend May Come Down to NVDA Earnings,,
